DateTime,CO(GT),PT08.S4(NO2),PT08.S5(O3),AQI
2004-03-10,1.97,1545.5,1096,374.44
2004-03-11,2.17,1522.83,885.25,331.71
2004-03-12,2.74,1627.29,1084.38,350.82
2004-03-13,2.61,1595.79,1245.92,387.11
2004-03-14,2.4,1602.38,1234.21,369.97
2004-03-15,3.39,1888.63,1439.08,308.08
2004-03-16,2.68,1726.63,1322.63,361.52
2004-03-17,2.97,1741.21,1405.88,338.18
2004-03-18,2.62,1702.83,1301,334.86
2004-03-19,2.87,1745.42,1095.79,398.73
2004-03-20,2.05,1609.08,1019,410.01
2004-03-21,1.94,1601.79,954.25,394.32
2004-03-22,2.08,1595.33,857.88,397.95
2004-03-23,1.95,1557,892.71,368.81
2004-03-24,2.03,1541.63,909.96,361.13
2004-03-25,1.9,1494.67,800.46,362.49
2004-03-26,1.88,1457.63,888.5,369.21
2004-03-27,1.8,1425.83,900.75,344.75
2004-03-28,1.56,1348.08,783.75,370.96
2004-03-29,1.47,1275.58,630.71,379.66
2004-03-30,2.14,1447,1003.92,362.15
2004-03-31,1.93,1513.54,904.25,385.05
2004-04-01,2.63,1644.38,1155.86,352.73
2004-04-02,2.71,1708.71,1197.38,340.33
2004-04-03,2.1,1659.13,1140.46,380.98
2004-04-04,2.1,1562.38,824.79,381.75
2004-04-05,2.26,1703.46,1069.96,401.47
2004-04-06,2.23,1663.79,941.21,361.13
2004-04-07,1.64,1470.25,685.46,387.49
2004-04-08,2.52,1598.61,1084.3,346.98
2004-04-09,2.3,1560,1151,377.92
2004-04-10,1.75,1467.83,872.63,369.49
2004-04-11,1.18,1265.67,631.71,341.28
2004-04-12,0.86,1217.79,462.58,378.93
2004-04-13,2.05,1542.21,941.96,374.17
2004-04-14,2.27,1582.08,1104.29,362.78
2004-04-15,3.15,1732.42,1351.67,360.41
2004-04-16,3.3,1793.08,1221.63,338.75
2004-04-17,2.23,1553.17,838.17,384.55
2004-04-18,2.1,1559.04,768.96,394.57
2004-04-19,2.1,1586.96,869.5,390.9
2004-04-20,2.1,1738.83,1088.83,350.48
2004-04-21,2.1,1725.08,1154.92,300.93
2004-04-22,2.1,1683.13,1139.42,363.84
2004-04-23,3.02,1801.71,1388.08,336.22
2004-04-24,2.03,1667.54,1119.21,411.28
2004-04-25,1.22,1267.29,514.21,367.13
2004-04-26,1.46,1367.54,650.75,360.86
2004-04-27,2.16,1581.38,953.42,364.54
2004-04-28,2.73,1783.92,1291.38,312.92
2004-04-29,3.02,1873.08,1364.88,308.54
2004-04-30,2.87,1916.96,1306.13,328.26
2004-05-01,2,1640.42,904.63,410.23
2004-05-02,1.57,1575.42,872.04,393.45
2004-05-03,2.11,1725.38,1029.71,330.26
2004-05-04,2.24,1795.88,929.96,351.82
2004-05-05,2.1,1737.63,871.13,357.89
2004-05-06,1.94,1607.54,795.5,407.53
2004-05-07,2.13,1601.04,814.42,389.34
2004-05-08,1.89,1505.42,767.17,386.19
2004-05-09,1.87,1519.58,813.71,386.06
2004-05-10,2.1,1747.54,1010.25,348.51
2004-05-11,2.71,1804.38,1202.13,322.11
2004-05-12,2.55,1799.42,1182.25,309.98
2004-05-13,2.33,1682.29,980.63,365.32
2004-05-14,2.39,1669.42,1157.33,361.96
2004-05-15,1.74,1497.83,975.5,362.62
2004-05-16,1.37,1442.71,773.58,378.93
2004-05-17,1.64,1394.71,798.54,354.29
2004-05-18,2.22,1647.58,1075.08,365.01
2004-05-19,2.3,1703.29,1076.58,390.78
2004-05-20,2.35,1724.58,1087.13,388.61
2004-05-21,2.2,1679.63,1108,366.69
2004-05-22,1.95,1706.63,1080.21,414.8
2004-05-23,1.28,1531.83,765.92,388.04
2004-05-24,1.09,1246.46,617.08,364.03
2004-05-25,1.64,1368.26,932.26,367.12
2004-05-26,2.18,1500.2,1149.8,363.23
2004-05-27,1.87,1615.79,1027.92,353.98
2004-05-28,1.65,1622.21,919,393.67
2004-05-29,0.83,1407.46,615.75,406.7
2004-05-30,0.66,1383.96,656.92,391.15
2004-05-31,1.37,1663.33,868.25,386.41
2004-06-01,1.87,1881.5,1066.96,345.2
2004-06-02,1.87,1697.96,823.17,421.01
2004-06-03,1.9,1729.25,992.67,358.85
2004-06-04,2.02,1643.17,833.25,385.83
2004-06-05,1.45,1660.5,852.54,406.94
2004-06-06,1,1516.46,629.25,403.18
2004-06-07,2.15,1756.33,957.25,403.05
2004-06-08,2.46,1861.42,1095.67,321.11
2004-06-09,2.47,1872.54,1179.29,350.08
2004-06-10,2.57,1880.38,1128.04,317.65
2004-06-11,2.19,1732.33,1048.96,358.63
2004-06-12,1.32,1616.67,868.13,392.29
2004-06-13,0.73,1395.29,498.21,391.39
2004-06-14,1.18,1494.08,600.17,390.25
2004-06-15,2.15,1744.29,935.96,395.03
2004-06-16,2.16,1787.29,933,402.48
2004-06-17,2.17,1794.96,1007.71,354.3
2004-06-18,2.05,1800.17,961.67,404.76
2004-06-19,1.13,1626.86,798.07,394.88
2004-06-20,2.25,1585.04,1029.25,367.51
2004-06-21,1.87,1644.15,819.9,395.8
2004-06-22,2.2,1765.79,1001.67,403.53
2004-06-23,2.38,1815.21,1116.29,343.32
2004-06-24,1.74,1722,844.17,393.49
2004-06-25,2.08,1679.96,933.96,413.45
2004-06-26,1.44,1567.88,869.88,390.42
2004-06-27,1.33,1593.83,847.04,396.16
2004-06-28,2.1,1798.04,1042.25,353.54
2004-06-29,2.33,1919.33,1170.17,358.65
2004-06-30,2.38,1898.46,1257.71,398.46
2004-07-01,2.16,1854.25,1059.63,389.52
2004-07-02,2.01,1758.04,1031.42,364.39
2004-07-03,1.32,1563.92,857.25,389.28
2004-07-04,1.02,1527.38,752.42,398.61
2004-07-05,2,1690.75,1047.92,370
2004-07-06,2.5,1777.83,1308.29,395.54
2004-07-07,2.45,1770.29,1402.04,348.57
2004-07-08,2.18,1778.25,1384.17,371.69
2004-07-09,1.79,1642.46,901.54,407.61
2004-07-10,0.98,1487.5,636.58,395.79
2004-07-11,0.85,1448,627.96,405.41
2004-07-12,1.74,1582.25,868.17,374
2004-07-13,2.36,1628,1062.17,348.89
2004-07-14,2.31,1648.29,1122.96,358.13
2004-07-15,2.12,1665.08,1014,396.86
2004-07-16,2.21,1643.25,1039.08,390.11
2004-07-17,1.58,1505.75,962.67,372.28
2004-07-18,0.77,1416.71,776,367.8
2004-07-19,1.65,1660.63,1180.46,382.12
2004-07-20,1.76,1745.71,1280.42,351.63
2004-07-21,2.03,1731.79,1197.33,375.43
2004-07-22,2.32,1830.54,1355.04,396.15
2004-07-23,1.95,1780.46,1220.42,371.39
2004-07-24,1.3,1640.58,868.42,413.87
2004-07-25,0.89,1514.63,581.33,391.77
2004-07-26,1.74,1606.83,806.54,405.88
2004-07-27,1.76,1509.83,758.5,376.46
2004-07-28,1.76,1550.96,908.71,365.22
2004-07-29,1.76,1596.13,935.04,384.69
2004-07-30,1.76,1744.67,1009,356.58
2004-07-31,1.65,1658.39,867.26,412.88
2004-08-01,0.98,1559,670.58,401.41
2004-08-02,1.31,1709.46,764.04,399.76
2004-08-03,1.2,1768.33,899.04,379.35
2004-08-04,1.24,1698.08,872.17,369.61
2004-08-05,1.24,1684,899.96,413.93
2004-08-06,1.81,1803.92,1104.29,418.15
2004-08-07,1.24,1608,773.08,406.17
2004-08-08,1.08,1576.33,665.54,400.3
2004-08-09,1.39,1700.15,926.35,413.1
2004-08-10,1.48,1706.21,943.38,401.87
2004-08-11,1.3,1700.42,869.04,416.77
2004-08-12,1.27,1684.33,762.29,419.22
2004-08-13,1.03,1558.54,598.75,414.01
2004-08-14,0.86,1503.08,609.75,397.93
2004-08-15,0.75,1406.42,609.54,397.89
2004-08-16,1.1,1410.42,707.08,367.12
2004-08-17,1.29,1484.42,811.92,385.14
2004-08-18,1.27,1550.96,801.46,380.93
2004-08-19,1.14,1611.25,727.58,402.23
2004-08-20,1.24,1609.83,687.21,413.47
2004-08-21,1.24,1383.13,544,389.26
2004-08-22,1.24,1380.54,689.96,363.28
2004-08-23,1.22,1412.75,726.38,378.77
2004-08-24,1.38,1468.67,808.29,380.76
2004-08-25,1.52,1595.83,812.92,397.03
2004-08-26,0.75,1321.67,595.33,398.73
2004-08-27,2.25,1585.04,1029.25,367.51
2004-08-28,1.19,1454.19,733.52,380.67
2004-08-29,1.24,1531.13,756.08,389.46
2004-08-30,1.24,1671.79,905.92,367.94
2004-08-31,1.57,1684.96,928.92,377.35
2004-09-01,2.24,1683.54,1021.5,378.55
2004-09-02,2.25,1675.13,1137.29,364.06
2004-09-03,2.24,1689.96,1213.58,365.61
2004-09-04,1.72,1511.79,956.54,372.85
2004-09-05,1.3,1288.79,645.83,356.31
2004-09-06,1.39,1390.96,731.21,359.42
2004-09-07,1.88,1473.57,927.35,365.7
2004-09-08,3.27,1453.57,1462.86,351.51
2004-09-09,2.24,1460.33,1211.54,354.96
2004-09-10,1.95,1447.13,1020.21,357.94
2004-09-11,2.12,1427.46,942.25,366.69
2004-09-12,2.12,1570.21,1017.92,362
2004-09-13,2.41,1775.92,1260.13,345.52
2004-09-14,2.07,1716.25,1094.17,346.95
2004-09-15,2.35,1846.67,1213.67,362.71
2004-09-16,2.11,1656.92,1084.92,362.04
2004-09-17,1.53,1440,830.42,370.75
2004-09-18,1.34,1331.88,732.38,363.2
2004-09-19,1.97,1492.92,961.96,374.31
2004-09-20,2.72,1660.46,1151.92,322.49
2004-09-21,2.98,1726.04,1163.08,314.92
2004-09-22,2.76,1728.08,1163.58,321.11
2004-09-23,2.41,1703.42,1102.42,371.87
2004-09-24,2.39,1652.63,1052.63,355.88
2004-09-25,1.24,1183.88,640.29,374.05
2004-09-26,1.5,1243.25,778.67,347.03
2004-09-27,2.15,1392.67,1013.13,336.86
2004-09-28,2.83,1511.83,1335.25,331.63
2004-09-29,2.68,1539.67,1225.5,356.21
2004-09-30,2.47,1657.92,1298.29,320.67
2004-10-01,2.88,1769.96,1366.87,341.69
2004-10-02,2.66,1598.46,1099.83,387.68
2004-10-03,2.66,1525.46,982.08,369.41
2004-10-04,2.66,1729.29,1229.88,345.74
2004-10-05,2.66,1763.33,1378.21,312.92
2004-10-06,2.66,1736.42,1335.17,351.55
2004-10-07,2.86,1744.33,1292.25,338.87
2004-10-08,2.6,1725.71,1310.17,380.24
2004-10-09,2.53,1724,1260.29,400.33
2004-10-10,1.58,1547.88,885.08,379.39
2004-10-11,2.45,1673.29,1089.17,398.07
2004-10-12,2.54,1380.38,827,340.53
2004-10-13,2.53,1231.75,708.04,332.67
2004-10-14,2.66,1400.21,915.25,368.7
2004-10-15,2.66,1595.96,1057,387.18
2004-10-16,2.66,1352.54,791.58,336.2
2004-10-17,2.66,1315,692.75,369.54
2004-10-18,2.66,1634.75,1204.79,314.65
2004-10-19,2.66,1744.25,1383.46,358.11
2004-10-20,3.35,1959.38,1624.38,304.33
2004-10-21,3.07,1830.79,1368.71,365.15
2004-10-22,3.01,1799.71,1431.83,336.78
2004-10-23,2.49,1667.21,1252.79,404.99
2004-10-24,1.96,1545.58,1161.75,374.47
2004-10-25,3.54,1827,1482.21,337.62
2004-10-26,3.55,1804.92,1426.63,331.51
2004-10-27,2.31,1638.92,1131.92,378.64
2004-10-28,2.59,1610.04,1175.75,351.88
2004-10-29,2.47,1613.58,1041.29,366.61
2004-10-30,2.79,1659.88,1188,403.17
2004-10-31,2.11,1601.04,993.71,385.75
2004-11-01,2.67,1706.17,1495.63,414.75
2004-11-02,4.19,1893.54,1430,255.5
2004-11-03,2.49,1618.58,1169.58,392.8
2004-11-04,2.84,1747.58,1332.29,355.81
2004-11-05,3.09,1682.04,1313.79,345.75
2004-11-06,2.33,1500.71,1144.58,363.78
2004-11-07,1.32,1113.96,673.08,361.09
2004-11-08,1.96,1155.83,804.96,331.74
2004-11-09,2.29,1233.21,1016.96,314.16
2004-11-10,1.78,1210.92,836.29,345.32
2004-11-11,2.92,1416.04,1140.08,344.28
2004-11-12,1.93,1310.83,882.42,356.74
2004-11-13,1.95,1303.63,924.29,338.48
2004-11-14,0.61,875.63,380.04,363.68
2004-11-15,1.66,1010.92,716.04,301.62
2004-11-16,2.33,1147.75,1023.92,320.9
2004-11-17,3.36,1321.04,1389.38,308.78
2004-11-18,3.38,1419.38,1363.79,346.92
2004-11-19,3.92,1422.17,1166,356.19
2004-11-20,1.9,953.75,1015.92,282.7
2004-11-21,1.03,992.17,1147.75,257.55
2004-11-22,2.58,1333,1719.79,329.91
2004-11-23,4.89,1731.17,1795.46,342.41
2004-11-24,3.48,1518.33,1458.75,351.32
2004-11-25,2.93,1322.04,1309.58,320.62
2004-11-26,4.49,1628.96,1698.13,340.68
2004-11-27,3.75,1563.13,1519.21,378.97
2004-11-28,2.17,1237.46,1025.29,302.88
2004-11-29,2.68,1401.42,1233.79,340.15
2004-11-30,2.62,1395.71,1013.83,356.75
2004-12-01,3.12,1448.54,1196.33,353.4
2004-12-02,3.78,1640.08,1374.42,340.29
2004-12-03,3.54,1643.46,1349.13,342.9
2004-12-04,2.38,1371.58,1039.92,331.15
2004-12-05,1.4,1175.5,774.04,289.39
2004-12-06,2.39,1419.92,1126.38,345.67
2004-12-07,2.33,1369.71,1159.92,333.28
2004-12-08,1.89,1258.79,1010.75,306.14
2004-12-09,1.4,1140.13,749.21,322.61
2004-12-10,1.7,975.58,764.42,299.86
2004-12-11,1.93,1024.46,1031.33,262.89
2004-12-12,2.84,1185.25,1340.75,293.1
2004-12-13,3.39,1358.67,1560.21,315.92
2004-12-14,2.96,1391.53,1485.41,341.32
2004-12-15,2.25,1585.04,1029.25,367.51
2004-12-16,2.25,1585.04,1029.25,367.51
2004-12-17,2.55,1385.5,1141.25,334.78
2004-12-18,1.76,1061.04,867.08,316
2004-12-19,2.66,1117.58,1086,281.36
2004-12-20,2.36,1015.17,756.08,311.93
2004-12-21,2.03,976.46,878.21,278.33
2004-12-22,2.17,960.79,988.71,263.21
2004-12-23,4.06,1221.21,1545.63,305.2
2004-12-24,5.17,1349,1955.74,328.89
2004-12-25,3.8,1389.17,1781.79,335.52
2004-12-26,1.43,1216.5,830.38,331.35
2004-12-27,1.57,1214.92,850.92,321.15
2004-12-28,2.52,1293.58,1013.42,321.65
2004-12-29,2.57,1059.21,714.17,281.22
2004-12-30,2.57,933.33,657.08,310.76
2004-12-31,2.57,915.21,717.79,300.52
2005-01-01,2.12,1032.63,1226.42,264.6
2005-01-02,1.9,1063.14,1211.9,269.48
2005-01-03,2.25,1585.04,1029.25,367.51
2005-01-04,2.25,1585.04,1029.25,367.51
2005-01-05,3.07,1425.52,1518.35,345.73
2005-01-06,1.64,1226.54,963.46,298.68
2005-01-07,2.67,1305.63,1197.21,319.79
2005-01-08,2.8,1304.88,1336.58,319.09
2005-01-09,1.68,1257.75,939.5,352.56
2005-01-10,2.02,1482.92,1295.88,360.37
2005-01-11,2.81,1449.5,1392.75,352.64
2005-01-12,3.18,1489.13,1456,361.34
2005-01-13,2.68,1366.63,1308.25,332.57
2005-01-14,3.15,1365.25,1339.04,334.38
2005-01-15,2.61,1210.5,1260.63,297.58
2005-01-16,1.53,948.33,851,301.95
2005-01-17,2.84,1163.33,1326.79,291.8
2005-01-18,3,1306.38,1494.58,323.91
2005-01-19,1.09,1072.46,762.38,307.5
2005-01-20,2.53,1136.75,1152.79,317.09
2005-01-21,2.98,1406.04,1756.63,325.72
2005-01-22,1.25,1283.5,1468.92,313.64
2005-01-23,2.02,998.75,1027.71,258.64
2005-01-24,1.1,977.46,794.92,286.47
2005-01-25,0.77,869.38,527.29,325.2
2005-01-26,0.76,873.04,567.75,332.88
2005-01-27,1.35,870.96,691.63,305.27
2005-01-28,1.28,885,688.65,338.37
2005-01-29,0.99,807.05,474.41,407.16
2005-01-30,0.98,763.79,474.54,364.01
2005-01-31,2.61,1001.5,1184.29,308.22
2005-02-01,2.87,1184.42,1559.08,295.63
2005-02-02,3.35,1132.21,1392.88,285.28
2005-02-03,2.65,1212.21,1528.58,302.11
2005-02-04,1.85,1081.75,1163.42,274.15
2005-02-05,1.43,926.83,923.46,276.39
2005-02-06,1.19,821.75,735.88,276.69
2005-02-07,1.4,873.25,813.79,289.36
2005-02-08,1.34,904.29,822.12,306.7
2005-02-09,2.25,1585.04,1029.25,367.51
2005-02-10,2.25,1585.04,1029.25,367.51
2005-02-11,3.87,1315.67,2043.67,317.29
2005-02-12,3.41,1368.88,1899.13,333.37
2005-02-13,2.33,1322.92,1285.63,330.19
2005-02-14,1.69,1020.79,937.17,262.34
2005-02-15,1.44,881.13,766.33,328.8
2005-02-16,2.2,1052.33,1225.75,269.05
2005-02-17,1.77,1000.92,930.21,272.97
2005-02-18,1.84,1012.5,891.08,300.94
2005-02-19,1.78,997.83,1114.08,278.21
2005-02-20,1.19,987,737.92,336.18
2005-02-21,1.97,1179.42,879.75,322.57
2005-02-22,2,1182.79,885.67,315.49
2005-02-23,1.71,1113.04,871.63,324.16
2005-02-24,2.2,1220.04,1110.67,300.9
2005-02-25,2.43,1212.04,1099.79,298.76
2005-02-26,2.34,999.08,835.04,283.17
2005-02-27,1.73,925.5,763.54,305.74
2005-02-28,1.03,750.08,445.42,343.49
2005-03-01,1.02,699.08,482.71,330.8
2005-03-02,1.83,874.38,981.96,287.23
2005-03-03,2.17,1162.42,1304.25,290.07
2005-03-04,2.92,1282.33,1369.75,315.12
2005-03-05,1.75,1053.92,923,286.79
2005-03-06,1.33,894.17,600.71,323.59
2005-03-07,1.55,866.71,722.33,303.68
2005-03-08,2.41,1048.63,1238.75,270.52
2005-03-09,2.62,1236.92,1425.79,307.22
2005-03-10,2.35,1166.92,1291.92,290.71
2005-03-11,1.58,1195.17,1216.87,297.95
2005-03-12,0.76,1147.29,792.88,323.27
2005-03-13,0.95,1149.38,816.71,357.54
2005-03-14,2.34,1343.92,1245.42,327.84
2005-03-15,2.49,1324.96,1196.33,324.84
2005-03-16,2.53,1298.96,1323.46,318.64
2005-03-17,2.42,1282.33,1254.33,314.46
2005-03-18,2.68,1318.79,1257.46,323.01
2005-03-19,1.91,1277.96,1025.38,334.56
2005-03-20,1.58,1203.5,807.63,338
2005-03-21,2.55,1425.88,1154.5,327.8
2005-03-22,2.43,1365.13,1153.96,333.13
2005-03-23,2.85,1425,1346.79,345.89
2005-03-24,2.68,1452.04,1467.75,336.34
2005-03-25,2.5,1560.46,1334.71,378.49
2005-03-26,1.7,1407.25,1185.88,340.02
2005-03-27,1.34,1305.04,884.75,320.75
2005-03-28,1.5,1280.75,829.58,325.59
2005-03-29,2.27,1429.96,1133.33,356.62
2005-03-30,1.92,1328.67,1067.42,323.34
2005-03-31,1.39,1176.54,763.83,338.6
2005-04-01,1.09,943.25,523.96,372.11
2005-04-02,0.85,864.33,481.75,380.63
2005-04-03,1.14,985.17,717.08,336.45
2005-04-04,1.98,1195.07,995.27,364.08